derimot	baicce, dattege
upassende	eahpeheivvolaš, unohas
opptatt	(være opptatt av) beroštit	Folk er opptatt av utmarksområdene og viddene i kommunen.	Olbmot beroštit gieldda meahcceguovlluin ja duoddariin.
opptatt	(ikke ledig)	anus, várrejuvvon	Rommet er opptatt (eget eks).	Latnja lea várrejuvvon.
borte	eret, jávkan
utover	(retning) olggosguvlui	norsk	samisk
utover	miehtá
utover	(gå utover noen) čuohcat	De senere tids reguleringer har spesielt gått utover samiske laksefiskere.	Maŋemus áiggiid reguleremat leat erenoamážit čuohcán sámi luossabivdiide.
utover	(mer enn) lassin
bl.a.	earret eará	Sentret arrangerer blant annet utstillinger i sommerhalvåret.	Guovddáš lágida earret_eará čájáhusaid geassejahkebealis.
egen	iežas, sierra
ettersom	daningo, dannego, go, dasgo??
verken	ii...iige...	Dette er ikke til det beste verken for skattyterne eller de ansatte.	Dat ii leat vearromáksiid iige bargiid ovdun.
innom	fitnat...?	har vært innom skolen	lea fitnan skuvllas
igjennom	čađa
skyldes	
forresten	
late	dahkaluddat?
gir	
sjekke	geahččat
nødvendigvis	
innsende	
såpass	dan mađe	Nå var vi blitt såpass store at vi syntes det var gøy å bo på internat.	Dál mii leimmet sturron dan mađe ahte min mielas lei somá orrut internáhtas.
muligens	soaitit	Dette vil muligens gi et nytt bilde av samisk handel.	Dát soaittášii addit ođđa ipmárdusa sámi gávppašeamis.
muligens	vejolaččat
visning	
loggføre	
test	geahččaleapmi, iskkus
ihvertfall	goitge?
pluss	pluss, 
åring	
befinne	
klikk	deaddil, deaddileapmi
more	suohtastahttit	
sikt	(på sikt) áiggi mielde, guhkit áigái			
ifra	(ut ifra) mielde, vuođul 
mail			
hittil	dán rádjai, dássážii	Hans hittil siste bok.	Su maŋimus girji dássážii.
dvs.	
riktignok	gal
endel	
skreve				
tv	tv
enhver	juohke, iešguhtet, juohkehaš
finner	gávdnujeadji??		
foreligge				
imponere	
tyde	
opptil	gitta, rádjai
husk	muitu	
henhold	 (i henhold til) mielde
underveis	dađistaga?		
hold		
last		
forholde		
bekymre	vuorjašuvvá
bi	
hverken	
bry	beroštit, váivi, givssi		
hvorvidt	
stadion	
forbeholde	
fremfor	ovdal
nødt	fertet	Hun er nødt til å gå.	Son ferte vuolgit.
faen	biru
iallefall	
moderator	
henholdsvis	
samtlige	buohkat, buot, visot	
tenker	jurddašit, smiehttat
trenges	dárbbašuvvot
fant	
sjekke	
inni	
tvert	
definitiv	loahpalaš	
live	
null	nolla
enhver	
funke	doaibmat
foreta	
desille	
således	
tilstede	sajistis??
innsikt	ipmárdus
forholdsvis	viehka, oalle
ytterligere	eambo, lasi
casino	
igang	
foreta	
tilsi	
idet	
imponere		
fyr	
ei	
forkant	
gradvis	dađistaga
overalt	juohke sajis, miehtá
fremstå	
forhåpentligvis	
ange	
online	
cirka	
pga.	
risikere	
undertegne		
ettertid	
fet	assái, vuodjai??
m.m.	
åpenbare	
derfra	das rájes
norge	
basis	
kjekk	
kø	ráidu
vedrøre	
sistnevnt	
nydelig	
muslimsk	
visstnok	
gjenstå	váilut?
utstyre	
høyst	eanemustá
hvorav	mas 
stole	
unik	
begynner	álggahalli
utelukkende	
regner	
eksempelvis	
ulike	
ben	
innimellom	
herunder	
antagelig	árvideames, amma
utvilsom(t)	eahpitkeahttá	Dette er utvilsomt en seier for samiske rettigheter.	Dát lea eahpitkeahttá vuoitun sámi vuoigatvuođaide.
istedet	
tlf.	
